subject_id,split,rec_type,is_severe_failure,components_6_all,components_18_all,components_26_all,components_6_ge5vox,components_6_ge10vox,components_26_ge10vox,fraction_voxels_in_lt5vox_components_6,fraction_voxels_in_lt10vox_components_6,largest_component_fraction_6,largest_component_fraction_26
sub-016,train,mial,False,320,68,49,32,21,14,0.014511965394544059,0.016849229051838416,0.8385892695178958,0.8489848601130259
sub-017,test,mial,True,542,134,101,53,24,22,0.024823357882537665,0.03215073460690119,0.7881042281954466,0.9281468466110883
sub-018,train,mial,False,12,2,2,5,2,2,1.6638104587125434e-05,4.2981770183407374e-05,0.9999140364596332,0.9999473126688074
sub-019,train,mial,False,33,8,8,5,2,2,4.535905580589435e-05,7.38704623124565e-05,0.9998885463200198,0.999953344971171
sub-020,test,mial,True,191,54,43,26,19,18,0.00991090199219141,0.012113324657122835,0.6805986585243768,0.6826509160076084
sub-021,val,mial,False,15,2,2,2,2,1,5.21597877841777e-05,5.21597877841777e-05,0.9994560479273936,0.9999962743008726
sub-023,train,mial,False,326,81,72,26,17,21,0.008365535691536795,0.009788101405579855,0.644443500785596,0.6471400059450507
sub-024,train,mial,False,28,5,3,4,3,1,3.7140112311699634e-05,4.3330131030316236e-05,0.9997387812100744,0.9999950479850251
sub-025,test,mial,True,171,45,30,25,16,13,0.010639787204255916,0.013206402538615894,0.5265294694106117,0.8678426431471371
sub-026,train,mial,False,12,2,2,2,2,1,1.3484953243989389e-05,1.3484953243989389e-05,0.9999656746644698,0.9999975481903193
sub-027,train,mial,False,82,28,23,5,3,2,0.00023232804720265014,0.00026237046709954453,0.9996815503490929,0.999887841632385
sub-028,train,mial,False,65,29,23,17,9,5,7.670363857245505e-05,0.00013423136750179634,0.9996965694297648,0.9998432087388004
sub-029,train,mial,False,25,7,5,8,3,2,2.8739092830006896e-05,7.116346796001707e-05,0.9998809380439899,0.99996304973779
sub-030,train,mial,False,58,16,14,6,4,2,0.0002257237266987278,0.00026961445133459155,0.9994576360455711,0.99989340824017
sub-031,train,mial,False,12,3,1,5,3,1,1.2105218559721096e-05,3.147356825527485e-05,0.9998498952898595,1.0
sub-032,train,mial,False,27,9,9,5,4,5,4.35651040875949e-05,5.1486032103521245e-05,0.99970824581808,0.9997333287567971
sub-033,train,mial,False,30,6,6,6,4,3,5.006452761336834e-05,6.953406612967825e-05,0.9994757131413822,0.9995814049218993
sub-034,test,mial,False,23,5,4,5,2,1,3.7051287532241745e-05,6.412722842118764e-05,0.9999187721773332,0.9999828994057544
sub-035,train,mial,False,70,23,21,13,6,6,8.58032542241811e-05,0.00013250629133354549,0.999736073534475,0.9998479436001091
sub-036,train,mial,False,8,4,4,5,2,1,9.28011086639115e-06,7.42408869311292e-05,0.9998886386696033,0.9999350392239352
sub-037,train,mial,False,33,10,9,9,2,2,5.640146955001352e-05,0.0001555902608276235,0.9985491208177825,0.9986171915568945
sub-038,test,mial,False,34,9,7,5,4,3,6.179759133109137e-05,7.042051105170877e-05,0.9997873013135581,0.9998778419706246
sub-039,test,mial,False,19,6,4,1,1,1,6.16504633166341e-05,6.16504633166341e-05,0.9999383495366834,0.9999839172704391
sub-040,train,mial,False,19,8,7,3,2,2,2.53872897865597e-05,3.6076674959848e-05,0.9987439972421386,0.9987613674930452
sub-041,val,irtk,False,63,36,31,18,15,12,3.6135916692130866e-05,4.944914915765276e-05,0.9993888592334875,0.9994478178344062
sub-042,test,irtk,False,64,23,20,9,6,4,0.00019840260467009208,0.0002467314442692171,0.998354275830493,0.9997023960929948
sub-043,test,irtk,False,30,8,5,3,3,1,9.740470572956125e-05,9.740470572956125e-05,0.9998051905885409,0.9999783545098379
sub-044,train,irtk,False,45,14,13,5,2,2,0.00010807642666079174,0.00014756589024838873,0.9997485144687316,0.9998150230389844
sub-045,train,irtk,False,30,4,4,4,2,2,6.318261737260533e-05,0.00010022070341861535,0.9998779921871426,0.9999542470701784
sub-046,train,irtk,False,20,7,7,8,7,6,3.865607083419801e-05,5.6966841229344433e-05,0.9997355110942924,0.999763994514907
sub-047,train,irtk,False,40,11,8,10,6,5,7.112444514850461e-05,0.00011315252637262096,0.9997106528254186,0.9998173394931413
sub-048,train,irtk,False,53,10,8,4,3,3,0.0001353055842219929,0.00015135878912968695,0.9993464052287582,0.9994633642930857
sub-049,test,irtk,False,71,8,5,7,4,3,0.000114222954420648,0.00014058209774848985,0.9996295075965587,0.9997613033131979
sub-050,train,irtk,False,71,23,20,14,8,7,6.325358110981737e-05,9.73772235506399e-05,0.9996429501803143,0.999739495119903
sub-051,train,irtk,False,42,13,13,10,6,4,4.511385477955062e-05,7.239199952997659e-05,0.9993044073088642,0.999385192583702
sub-052,train,irtk,False,179,18,12,11,6,2,0.000818346859891867,0.0009256059143437136,0.9982759100136259,0.999713975854795
sub-053,val,irtk,False,60,9,8,10,9,3,7.937709738715019e-05,8.792540018268945e-05,0.9994297060849262,0.9997753017550887
sub-054,test,irtk,False,106,31,27,20,12,6,0.00011237426196399281,0.00017010782774365884,0.9994010142550359,0.9996628772141081
sub-055,val,irtk,False,63,14,9,13,8,5,0.00016250914113918907,0.0002363769325660932,0.9992268504497317,0.9994952367585829
sub-056,val,irtk,False,46,11,11,3,2,2,0.00013948797184488938,0.000155582737826992,0.9997934505032297,0.9999168437090925
sub-057,train,irtk,False,57,22,18,4,2,3,8.905610123349551e-05,0.0001068673214801946,0.9980695377440308,0.9981079003722545
sub-058,val,irtk,False,32,13,12,6,4,3,5.648433054065389e-05,7.484173796636641e-05,0.9998051290596347,0.999865849714966
sub-059,train,irtk,False,71,22,21,16,11,10,8.213496913187838e-05,0.00011588906603539005,0.9980850175690075,0.9982481623707078
sub-060,train,irtk,False,72,14,13,11,6,4,0.000109488743714925,0.00015159979898989615,0.9997038189112327,0.9998933186599701
sub-061,train,irtk,False,112,19,15,11,6,5,0.00016922985159096868,0.0002233279189028357,0.9995699897213672,0.9997863819906146
sub-062,train,irtk,False,50,12,12,2,2,2,0.00019237076468955774,0.00019237076468955774,0.9997382496152585,0.9998707016171758
sub-063,train,irtk,False,19,7,5,4,4,2,7.503386396755377e-05,7.503386396755377e-05,0.9997314577500108,0.9998775763272109
sub-064,train,irtk,False,36,7,7,4,2,2,7.985659793902014e-05,0.00010534274621743083,0.9998063052730841,0.9999643193924103
sub-065,train,irtk,False,21,7,7,4,2,1,7.558905470487874e-05,0.00012598175784146455,0.9998380234542038,0.9999316099028861
sub-066,train,irtk,False,41,8,5,4,3,2,0.000184868330481641,0.00021240191161720455,0.9996105964953684,0.9999409994689952
sub-067,train,irtk,False,31,13,9,4,4,3,5.382285217385454e-05,5.382285217385454e-05,0.9998385314434785,0.9999024460804349
sub-068,train,irtk,False,58,18,14,9,9,6,6.998193003896009e-05,6.998193003896009e-05,0.9994631237008952,0.9995968205224621
sub-069,train,irtk,False,43,14,12,8,4,3,5.6574952382748414e-05,9.429158730458068e-05,0.9997238603514652,0.9998194989614455
sub-070,train,irtk,False,53,8,7,3,2,2,0.0003037440450180648,0.0003517036310735487,0.9994351426531243,0.9996589540547166
sub-071,train,irtk,False,242,33,21,22,11,3,0.004461489098381947,0.005424070650430106,0.982505462268331,0.9943314641934942
sub-072,train,irtk,False,33,14,14,6,5,5,8.684860047682684e-05,0.0001008564392634118,0.9996273914882768,0.999663811869122
sub-073,train,irtk,False,53,9,9,2,2,2,8.20238186585666e-05,8.20238186585666e-05,0.9999047465331707,0.9999669258795731
sub-074,test,irtk,False,48,25,23,2,1,1,0.00019247759686987252,0.00021456518995330052,0.9997854348100467,0.9998832512937019
sub-075,val,irtk,False,65,24,21,12,9,5,0.00010778362437406906,0.00013472953046758632,0.9992589875824283,0.9996047933772951
sub-076,train,irtk,False,32,16,16,3,2,2,0.00011868355101184627,0.0001324839639202005,0.9996881106682712,0.9997322719895779
sub-077,train,irtk,False,27,8,5,4,4,4,6.964347895963356e-05,6.964347895963356e-05,0.9997589264189859,0.9998178555165671
sub-078,train,irtk,False,192,21,17,9,5,4,0.0015360183280831012,0.0017182577907370285,0.9965114160006249,0.9983403191794017
sub-079,test,irtk,False,30,12,7,5,4,3,4.3656908063687724e-05,5.007704160246533e-05,0.9998407806882383,0.9999216743708269
sub-080,train,irtk,False,19,5,5,3,3,2,4.759444096929479e-05,4.759444096929479e-05,0.9999048111180614,0.9999637375687853
